date,holiday
2001-01-01,Confraternização Universal
2001-01-25,aniversário de sp
2001-02-26,Carnaval
2001-02-27,Carnaval
2001-04-13,Paixão de Cristo
2001-04-21,Tiradentes
2001-05-01,Dia do Trabalho
2001-06-14,Corpus Christi
2001-07-09,revolução constitucionalista
2001-09-07,Independência do Brasil
2001-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2001-11-02,Finados
2001-11-15,Proclamação da República
2001-11-20,consciencia negra
2001-12-24,véspera de natal
2001-12-25,Natal
2001-12-31,vespera ano novo
2002-01-01,Confraternização Universal
2002-01-25,aniversário de sp
2002-02-11,Carnaval
2002-02-12,Carnaval
2002-03-29,Paixão de Cristo
2002-04-21,Tiradentes
2002-05-01,Dia do Trabalho
2002-05-30,Corpus Christi
2002-07-09,revolução constitucionalista
2002-09-07,Independência do Brasil
2002-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2002-11-02,Finados
2002-11-15,Proclamação da República
2002-11-20,consciencia negra
2002-12-24,véspera de natal
2002-12-25,Natal
2002-12-31,vespera ano novo
2003-01-01,Confraternização Universal
2003-01-25,aniversário de sp
2003-03-03,Carnaval
2003-03-04,Carnaval
2003-04-18,Paixão de Cristo
2003-04-21,Tiradentes
2003-05-01,Dia do Trabalho
2003-06-19,Corpus Christi
2003-07-09,revolução constitucionalista
2003-09-07,Independência do Brasil
2003-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2003-11-02,Finados
2003-11-15,Proclamação da República
2003-11-20,consciencia negra
2003-12-24,véspera de natal
2003-12-25,Natal
2003-12-31,vespera ano novo
2004-01-01,Confraternização Universal
2004-01-25,aniversário de sp
2004-02-23,Carnaval
2004-02-24,Carnaval
2004-04-09,Paixão de Cristo
2004-04-21,Tiradentes
2004-05-01,Dia do Trabalho
2004-06-10,Corpus Christi
2004-07-09,revolução constitucionalista
2004-09-07,Independência do Brasil
2004-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2004-11-02,Finados
2004-11-15,Proclamação da República
2004-11-20,consciencia negra
2004-12-24,véspera de natal
2004-12-25,Natal
2004-12-31,vespera ano novo
2005-01-01,Confraternização Universal
2005-01-25,aniversário de sp
2005-02-07,Carnaval
2005-02-08,Carnaval
2005-03-25,Paixão de Cristo
2005-04-21,Tiradentes
2005-05-01,Dia do Trabalho
2005-05-26,Corpus Christi
2005-07-09,revolução constitucionalista
2005-09-07,Independência do Brasil
2005-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2005-11-02,Finados
2005-11-15,Proclamação da República
2005-11-20,consciencia negra
2005-12-24,véspera de natal
2005-12-25,Natal
2005-12-31,vespera ano novo
2006-01-01,Confraternização Universal
2006-01-25,aniversário de sp
2006-02-27,Carnaval
2006-02-28,Carnaval
2006-04-14,Paixão de Cristo
2006-04-21,Tiradentes
2006-05-01,Dia do Trabalho
2006-06-15,Corpus Christi
2006-07-09,revolução constitucionalista
2006-09-07,Independência do Brasil
2006-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2006-11-02,Finados
2006-11-15,Proclamação da República
2006-11-20,consciencia negra
2006-12-24,véspera de natal
2006-12-25,Natal
2006-12-31,vespera ano novo
2007-01-01,Confraternização Universal
2007-01-25,aniversário de sp
2007-02-19,Carnaval
2007-02-20,Carnaval
2007-04-06,Paixão de Cristo
2007-04-21,Tiradentes
2007-05-01,Dia do Trabalho
2007-06-07,Corpus Christi
2007-07-09,revolução constitucionalista
2007-09-07,Independência do Brasil
2007-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2007-11-02,Finados
2007-11-15,Proclamação da República
2007-11-20,consciencia negra
2007-12-24,véspera de natal
2007-12-25,Natal
2007-12-31,vespera ano novo
2008-01-01,Confraternização Universal
2008-01-25,aniversário de sp
2008-02-04,Carnaval
2008-02-05,Carnaval
2008-03-21,Paixão de Cristo
2008-04-21,Tiradentes
2008-05-01,Dia do Trabalho
2008-05-22,Corpus Christi
2008-07-09,revolução constitucionalista
2008-09-07,Independência do Brasil
2008-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2008-11-02,Finados
2008-11-15,Proclamação da República
2008-11-20,consciencia negra
2008-12-24,véspera de natal
2008-12-25,Natal
2008-12-31,vespera ano novo
2009-01-01,Confraternização Universal
2009-01-25,aniversário de sp
2009-02-23,Carnaval
2009-02-24,Carnaval
2009-04-10,Paixão de Cristo
2009-04-21,Tiradentes
2009-05-01,Dia do Trabalho
2009-06-11,Corpus Christi
2009-07-09,revolução constitucionalista
2009-09-07,Independência do Brasil
2009-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2009-11-02,Finados
2009-11-15,Proclamação da República
2009-11-20,consciencia negra
2009-12-24,véspera de natal
2009-12-25,Natal
2009-12-31,vespera ano novo
2010-01-01,Confraternização Universal
2010-01-25,aniversário de sp
2010-02-15,Carnaval
2010-02-16,Carnaval
2010-04-02,Paixão de Cristo
2010-04-21,Tiradentes
2010-05-01,Dia do Trabalho
2010-06-03,Corpus Christi
2010-07-09,revolução constitucionalista
2010-09-07,Independência do Brasil
2010-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2010-11-02,Finados
2010-11-15,Proclamação da República
2010-11-20,consciencia negra
2010-12-24,véspera de natal
2010-12-25,Natal
2010-12-31,vespera ano novo
2011-01-01,Confraternização Universal
2011-01-25,aniversário de sp
2011-03-07,Carnaval
2011-03-08,Carnaval
2011-04-21,Paixão de Cristo
2011-04-22,Tiradentes
2011-05-01,Dia do Trabalho
2011-06-23,Corpus Christi
2011-07-09,revolução constitucionalista
2011-09-07,Independência do Brasil
2011-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2011-11-02,Finados
2011-11-15,Proclamação da República
2011-11-20,consciencia negra
2011-12-24,véspera de natal
2011-12-25,Natal
2011-12-31,vespera ano novo
2012-01-01,Confraternização Universal
2012-01-25,aniversário de sp
2012-02-20,Carnaval
2012-02-21,Carnaval
2012-04-06,Paixão de Cristo
2012-04-21,Tiradentes
2012-05-01,Dia do Trabalho
2012-06-07,Corpus Christi
2012-07-09,revolução constitucionalista
2012-09-07,Independência do Brasil
2012-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2012-11-02,Finados
2012-11-15,Proclamação da República
2012-11-20,consciencia negra
2012-12-24,véspera de natal
2012-12-25,Natal
2012-12-31,vespera ano novo
2013-01-01,Confraternização Universal
2013-01-25,aniversário de sp
2013-02-11,Carnaval
2013-02-12,Carnaval
2013-03-29,Paixão de Cristo
2013-04-21,Tiradentes
2013-05-01,Dia do Trabalho
2013-05-30,Corpus Christi
2013-07-09,revolução constitucionalista
2013-09-07,Independência do Brasil
2013-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2013-11-02,Finados
2013-11-15,Proclamação da República
2013-11-20,consciencia negra
2013-12-24,véspera de natal
2013-12-25,Natal
2013-12-31,vespera ano novo
2014-01-01,Confraternização Universal
2014-01-25,aniversário de sp
2014-03-03,Carnaval
2014-03-04,Carnaval
2014-04-18,Paixão de Cristo
2014-04-21,Tiradentes
2014-05-01,Dia do Trabalho
2014-06-19,Corpus Christi
2014-07-09,revolução constitucionalista
2014-09-07,Independência do Brasil
2014-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2014-11-02,Finados
2014-11-15,Proclamação da República
2014-11-20,consciencia negra
2014-12-24,véspera de natal
2014-12-25,Natal
2014-12-31,vespera ano novo
2015-01-01,Confraternização Universal
2015-01-25,aniversário de sp
2015-02-16,Carnaval
2015-02-17,Carnaval
2015-04-03,Paixão de Cristo
2015-04-21,Tiradentes
2015-05-01,Dia do Trabalho
2015-06-04,Corpus Christi
2015-07-09,revolução constitucionalista
2015-09-07,Independência do Brasil
2015-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2015-11-02,Finados
2015-11-15,Proclamação da República
2015-11-20,consciencia negra
2015-12-24,véspera de natal
2015-12-25,Natal
2015-12-31,vespera ano novo
2016-01-01,Confraternização Universal
2016-01-25,aniversário de sp
2016-02-08,Carnaval
2016-02-09,Carnaval
2016-03-25,Paixão de Cristo
2016-04-21,Tiradentes
2016-05-01,Dia do Trabalho
2016-05-26,Corpus Christi
2016-07-09,revolução constitucionalista
2016-09-07,Independência do Brasil
2016-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2016-11-02,Finados
2016-11-15,Proclamação da República
2016-11-20,consciencia negra
2016-12-24,véspera de natal
2016-12-25,Natal
2016-12-31,vespera ano novo
2017-01-01,Confraternização Universal
2017-01-25,aniversário de sp
2017-02-27,Carnaval
2017-02-28,Carnaval
2017-04-14,Paixão de Cristo
2017-04-21,Tiradentes
2017-05-01,Dia do Trabalho
2017-06-15,Corpus Christi
2017-07-09,revolução constitucionalista
2017-09-07,Independência do Brasil
2017-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2017-11-02,Finados
2017-11-15,Proclamação da República
2017-11-20,consciencia negra
2017-12-24,véspera de natal
2017-12-25,Natal
2017-12-31,vespera ano novo
2018-01-01,Confraternização Universal
2018-01-25,aniversário de sp
2018-02-12,Carnaval
2018-02-13,Carnaval
2018-03-30,Paixão de Cristo
2018-04-21,Tiradentes
2018-05-01,Dia do Trabalho
2018-05-31,Corpus Christi
2018-07-09,revolução constitucionalista
2018-09-07,Independência do Brasil
2018-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2018-11-02,Finados
2018-11-15,Proclamação da República
2018-11-20,consciencia negra
2018-12-24,véspera de natal
2018-12-25,Natal
2018-12-31,vespera ano novo
2019-01-01,Confraternização Universal
2019-01-25,aniversário de sp
2019-03-04,Carnaval
2019-03-05,Carnaval
2019-04-19,Paixão de Cristo
2019-04-21,Tiradentes
2019-05-01,Dia do Trabalho
2019-06-20,Corpus Christi
2019-07-09,revolução constitucionalista
2019-09-07,Independência do Brasil
2019-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2019-11-02,Finados
2019-11-15,Proclamação da República
2019-11-20,consciencia negra
2019-12-24,véspera de natal
2019-12-25,Natal
2019-12-31,vespera ano novo
2020-01-01,Confraternização Universal
2020-01-25,aniversário de sp
2020-02-24,Carnaval
2020-02-25,Carnaval
2020-04-10,Paixão de Cristo
2020-04-21,Tiradentes
2020-05-01,Dia do Trabalho
2020-06-11,Corpus Christi
2020-07-09,revolução constitucionalista
2020-09-07,Independência do Brasil
2020-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2020-11-02,Finados
2020-11-15,Proclamação da República
2020-11-20,consciencia negra
2020-12-24,véspera de natal
2020-12-25,Natal
2020-12-31,vespera ano novo
2021-01-01,Confraternização Universal
2021-01-25,aniversário de sp
2021-02-15,Carnaval
2021-02-16,Carnaval
2021-04-02,Paixão de Cristo
2021-04-21,Tiradentes
2021-05-01,Dia do Trabalho
2021-06-03,Corpus Christi
2021-07-09,revolução constitucionalista
2021-09-07,Independência do Brasil
2021-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2021-11-02,Finados
2021-11-15,Proclamação da República
2021-11-20,consciencia negra
2021-12-24,véspera de natal
2021-12-25,Natal
2021-12-31,vespera ano novo
2022-01-01,Confraternização Universal
2022-02-28,Carnaval
2022-03-01,Carnaval
2022-04-15,Paixão de Cristo
2022-04-21,Tiradentes
2022-05-01,Dia do Trabalho
2022-06-16,Corpus Christi
2022-09-07,Independência do Brasil
2022-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2022-11-02,Finados
2022-11-15,Proclamação da República
2022-12-24,véspera de natal
2022-12-25,Natal
2022-12-31,vespera ano novo
2023-01-01,Confraternização Universal
2023-02-20,Carnaval
2023-02-21,Carnaval
2023-04-07,Paixão de Cristo
2023-04-21,Tiradentes
2023-05-01,Dia do Trabalho
2023-06-08,Corpus Christi
2023-09-07,Independência do Brasil
2023-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2023-11-02,Finados
2023-11-15,Proclamação da República
2023-12-24,véspera de natal
2023-12-25,Natal
2023-12-31,vespera ano novo
2024-01-01,Confraternização Universal
2024-02-12,Carnaval
2024-02-13,Carnaval
2024-03-29,Paixão de Cristo
2024-04-21,Tiradentes
2024-05-01,Dia do Trabalho
2024-05-30,Corpus Christi
2024-09-07,Independência do Brasil
2024-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2024-11-02,Finados
2024-11-15,Proclamação da República
2024-11-20,consciencia negra
2024-12-24,véspera de natal
2024-12-25,Natal
2024-12-31,vespera ano novo
2025-01-01,Confraternização Universal
2025-03-03,Carnaval
2025-03-04,Carnaval
2025-04-18,Paixão de Cristo
2025-04-21,Tiradentes
2025-05-01,Dia do Trabalho
2025-06-19,Corpus Christi
2025-09-07,Independência do Brasil
2025-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2025-11-02,Finados
2025-11-15,Proclamação da República
2025-11-20,consciencia negra
2025-12-24,véspera de natal
2025-12-25,Natal
2025-12-31,vespera ano novo
2026-01-01,Confraternização Universal
2026-02-16,Carnaval
2026-02-17,Carnaval
2026-04-03,Paixão de Cristo
2026-04-21,Tiradentes
2026-05-01,Dia do Trabalho
2026-06-04,Corpus Christi
2026-09-07,Independência do Brasil
2026-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2026-11-02,Finados
2026-11-15,Proclamação da República
2026-11-20,consciencia negra
2026-12-24,véspera de natal
2026-12-25,Natal
2026-12-31,vespera ano novo
2027-01-01,Confraternização Universal
2027-02-08,Carnaval
2027-02-09,Carnaval
2027-03-26,Paixão de Cristo
2027-04-21,Tiradentes
2027-05-01,Dia do Trabalho
2027-05-27,Corpus Christi
2027-09-07,Independência do Brasil
2027-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2027-11-02,Finados
2027-11-15,Proclamação da República
2027-11-20,consciencia negra
2027-12-24,véspera de natal
2027-12-25,Natal
2027-12-31,vespera ano novo
2028-01-01,Confraternização Universal
2028-02-28,Carnaval
2028-02-29,Carnaval
2028-04-14,Paixão de Cristo
2028-04-21,Tiradentes
2028-05-01,Dia do Trabalho
2028-06-15,Corpus Christi
2028-09-07,Independência do Brasil
2028-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2028-11-02,Finados
2028-11-15,Proclamação da República
2028-11-20,consciencia negra
2028-12-24,véspera de natal
2028-12-25,Natal
2028-12-31,vespera ano novo
2029-01-01,Confraternização Universal
2029-02-12,Carnaval
2029-02-13,Carnaval
2029-03-30,Paixão de Cristo
2029-04-21,Tiradentes
2029-05-01,Dia do Trabalho
2029-05-31,Corpus Christi
2029-09-07,Independência do Brasil
2029-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2029-11-02,Finados
2029-11-15,Proclamação da República
2029-11-20,consciencia negra
2029-12-24,véspera de natal
2029-12-25,Natal
2029-12-31,vespera ano novo
2030-01-01,Confraternização Universal
2030-03-04,Carnaval
2030-03-05,Carnaval
2030-04-19,Paixão de Cristo
2030-04-21,Tiradentes
2030-05-01,Dia do Trabalho
2030-06-20,Corpus Christi
2030-09-07,Independência do Brasil
2030-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2030-11-02,Finados
2030-11-15,Proclamação da República
2030-11-20,consciencia negra
2030-12-24,véspera de natal
2030-12-25,Natal
2030-12-31,vespera ano novo
2031-01-01,Confraternização Universal
2031-02-24,Carnaval
2031-02-25,Carnaval
2031-04-11,Paixão de Cristo
2031-04-21,Tiradentes
2031-05-01,Dia do Trabalho
2031-06-12,Corpus Christi
2031-09-07,Independência do Brasil
2031-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2031-11-02,Finados
2031-11-15,Proclamação da República
2031-11-20,consciencia negra
2031-12-24,véspera de natal
2031-12-25,Natal
2031-12-31,vespera ano novo
2032-01-01,Confraternização Universal
2032-02-09,Carnaval
2032-02-10,Carnaval
2032-03-26,Paixão de Cristo
2032-04-21,Tiradentes
2032-05-01,Dia do Trabalho
2032-05-27,Corpus Christi
2032-09-07,Independência do Brasil
2032-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2032-11-02,Finados
2032-11-15,Proclamação da República
2032-11-20,consciencia negra
2032-12-24,véspera de natal
2032-12-25,Natal
2032-12-31,vespera ano novo
2033-01-01,Confraternização Universal
2033-02-28,Carnaval
2033-03-01,Carnaval
2033-04-15,Paixão de Cristo
2033-04-21,Tiradentes
2033-05-01,Dia do Trabalho
2033-06-16,Corpus Christi
2033-09-07,Independência do Brasil
2033-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2033-11-02,Finados
2033-11-15,Proclamação da República
2033-11-20,consciencia negra
2033-12-24,véspera de natal
2033-12-25,Natal
2033-12-31,vespera ano novo
2034-01-01,Confraternização Universal
2034-02-20,Carnaval
2034-02-21,Carnaval
2034-04-07,Paixão de Cristo
2034-04-21,Tiradentes
2034-05-01,Dia do Trabalho
2034-06-08,Corpus Christi
2034-09-07,Independência do Brasil
2034-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2034-11-02,Finados
2034-11-15,Proclamação da República
2034-11-20,consciencia negra
2034-12-24,véspera de natal
2034-12-25,Natal
2034-12-31,vespera ano novo
2035-01-01,Confraternização Universal
2035-02-05,Carnaval
2035-02-06,Carnaval
2035-03-23,Paixão de Cristo
2035-04-21,Tiradentes
2035-05-01,Dia do Trabalho
2035-05-24,Corpus Christi
2035-09-07,Independência do Brasil
2035-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2035-11-02,Finados
2035-11-15,Proclamação da República
2035-11-20,consciencia negra
2035-12-24,véspera de natal
2035-12-25,Natal
2035-12-31,vespera ano novo
2036-01-01,Confraternização Universal
2036-02-25,Carnaval
2036-02-26,Carnaval
2036-04-11,Paixão de Cristo
2036-04-21,Tiradentes
2036-05-01,Dia do Trabalho
2036-06-12,Corpus Christi
2036-09-07,Independência do Brasil
2036-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2036-11-02,Finados
2036-11-15,Proclamação da República
2036-11-20,consciencia negra
2036-12-24,véspera de natal
2036-12-25,Natal
2036-12-31,vespera ano novo
2037-01-01,Confraternização Universal
2037-02-16,Carnaval
2037-02-17,Carnaval
2037-04-03,Paixão de Cristo
2037-04-21,Tiradentes
2037-05-01,Dia do Trabalho
2037-06-04,Corpus Christi
2037-09-07,Independência do Brasil
2037-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2037-11-02,Finados
2037-11-15,Proclamação da República
2037-11-20,consciencia negra
2037-12-24,véspera de natal
2037-12-25,Natal
2037-12-31,vespera ano novo
2038-01-01,Confraternização Universal
2038-03-08,Carnaval
2038-03-09,Carnaval
2038-04-21,Tiradentes
2038-04-23,Paixão de Cristo
2038-05-01,Dia do Trabalho
2038-06-24,Corpus Christi
2038-09-07,Independência do Brasil
2038-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2038-11-02,Finados
2038-11-15,Proclamação da República
2038-11-20,consciencia negra
2038-12-24,véspera de natal
2038-12-25,Natal
2038-12-31,vespera ano novo
2039-01-01,Confraternização Universal
2039-02-21,Carnaval
2039-02-22,Carnaval
2039-04-08,Paixão de Cristo
2039-04-21,Tiradentes
2039-05-01,Dia do Trabalho
2039-06-09,Corpus Christi
2039-09-07,Independência do Brasil
2039-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2039-11-02,Finados
2039-11-15,Proclamação da República
2039-11-20,consciencia negra
2039-12-24,véspera de natal
2039-12-25,Natal
2039-12-31,vespera ano novo
2040-01-01,Confraternização Universal
2040-02-13,Carnaval
2040-02-14,Carnaval
2040-03-30,Paixão de Cristo
2040-04-21,Tiradentes
2040-05-01,Dia do Trabalho
2040-05-31,Corpus Christi
2040-09-07,Independência do Brasil
2040-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2040-11-02,Finados
2040-11-15,Proclamação da República
2040-11-20,consciencia negra
2040-12-24,véspera de natal
2040-12-25,Natal
2040-12-31,vespera ano novo
2041-01-01,Confraternização Universal
2041-03-04,Carnaval
2041-03-05,Carnaval
2041-04-19,Paixão de Cristo
2041-04-21,Tiradentes
2041-05-01,Dia do Trabalho
2041-06-20,Corpus Christi
2041-09-07,Independência do Brasil
2041-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2041-11-02,Finados
2041-11-15,Proclamação da República
2041-11-20,consciencia negra
2041-12-24,véspera de natal
2041-12-25,Natal
2041-12-31,vespera ano novo
2042-01-01,Confraternização Universal
2042-02-17,Carnaval
2042-02-18,Carnaval
2042-04-04,Paixão de Cristo
2042-04-21,Tiradentes
2042-05-01,Dia do Trabalho
2042-06-05,Corpus Christi
2042-09-07,Independência do Brasil
2042-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2042-11-02,Finados
2042-11-15,Proclamação da República
2042-11-20,consciencia negra
2042-12-24,véspera de natal
2042-12-25,Natal
2042-12-31,vespera ano novo
2043-01-01,Confraternização Universal
2043-02-09,Carnaval
2043-02-10,Carnaval
2043-03-27,Paixão de Cristo
2043-04-21,Tiradentes
2043-05-01,Dia do Trabalho
2043-05-28,Corpus Christi
2043-09-07,Independência do Brasil
2043-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2043-11-02,Finados
2043-11-15,Proclamação da República
2043-11-20,consciencia negra
2043-12-24,véspera de natal
2043-12-25,Natal
2043-12-31,vespera ano novo
2044-01-01,Confraternização Universal
2044-02-29,Carnaval
2044-03-01,Carnaval
2044-04-15,Paixão de Cristo
2044-04-21,Tiradentes
2044-05-01,Dia do Trabalho
2044-06-16,Corpus Christi
2044-09-07,Independência do Brasil
2044-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2044-11-02,Finados
2044-11-15,Proclamação da República
2044-11-20,consciencia negra
2044-12-24,véspera de natal
2044-12-25,Natal
2044-12-31,vespera ano novo
2045-01-01,Confraternização Universal
2045-02-20,Carnaval
2045-02-21,Carnaval
2045-04-07,Paixão de Cristo
2045-04-21,Tiradentes
2045-05-01,Dia do Trabalho
2045-06-08,Corpus Christi
2045-09-07,Independência do Brasil
2045-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2045-11-02,Finados
2045-11-15,Proclamação da República
2045-11-20,consciencia negra
2045-12-24,véspera de natal
2045-12-25,Natal
2045-12-31,vespera ano novo
2046-01-01,Confraternização Universal
2046-02-05,Carnaval
2046-02-06,Carnaval
2046-03-23,Paixão de Cristo
2046-04-21,Tiradentes
2046-05-01,Dia do Trabalho
2046-05-24,Corpus Christi
2046-09-07,Independência do Brasil
2046-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2046-11-02,Finados
2046-11-15,Proclamação da República
2046-11-20,consciencia negra
2046-12-24,véspera de natal
2046-12-25,Natal
2046-12-31,vespera ano novo
2047-01-01,Confraternização Universal
2047-02-25,Carnaval
2047-02-26,Carnaval
2047-04-12,Paixão de Cristo
2047-04-21,Tiradentes
2047-05-01,Dia do Trabalho
2047-06-13,Corpus Christi
2047-09-07,Independência do Brasil
2047-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2047-11-02,Finados
2047-11-15,Proclamação da República
2047-11-20,consciencia negra
2047-12-24,véspera de natal
2047-12-25,Natal
2047-12-31,vespera ano novo
2048-01-01,Confraternização Universal
2048-02-17,Carnaval
2048-02-18,Carnaval
2048-04-03,Paixão de Cristo
2048-04-21,Tiradentes
2048-05-01,Dia do Trabalho
2048-06-04,Corpus Christi
2048-09-07,Independência do Brasil
2048-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2048-11-02,Finados
2048-11-15,Proclamação da República
2048-11-20,consciencia negra
2048-12-24,véspera de natal
2048-12-25,Natal
2048-12-31,vespera ano novo
2049-01-01,Confraternização Universal
2049-03-01,Carnaval
2049-03-02,Carnaval
2049-04-16,Paixão de Cristo
2049-04-21,Tiradentes
2049-05-01,Dia do Trabalho
2049-06-17,Corpus Christi
2049-09-07,Independência do Brasil
2049-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2049-11-02,Finados
2049-11-15,Proclamação da República
2049-11-20,consciencia negra
2049-12-24,véspera de natal
2049-12-25,Natal
2049-12-31,vespera ano novo
2050-01-01,Confraternização Universal
2050-02-21,Carnaval
2050-02-22,Carnaval
2050-04-08,Paixão de Cristo
2050-04-21,Tiradentes
2050-05-01,Dia do Trabalho
2050-06-09,Corpus Christi
2050-09-07,Independência do Brasil
2050-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2050-11-02,Finados
2050-11-15,Proclamação da República
2050-11-20,consciencia negra
2050-12-24,véspera de natal
2050-12-25,Natal
2050-12-31,vespera ano novo
2051-01-01,Confraternização Universal
2051-02-13,Carnaval
2051-02-14,Carnaval
2051-03-31,Paixão de Cristo
2051-04-21,Tiradentes
2051-05-01,Dia do Trabalho
2051-06-01,Corpus Christi
2051-09-07,Independência do Brasil
2051-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2051-11-02,Finados
2051-11-15,Proclamação da República
2051-11-20,consciencia negra
2051-12-24,véspera de natal
2051-12-25,Natal
2051-12-31,vespera ano novo
2052-01-01,Confraternização Universal
2052-03-04,Carnaval
2052-03-05,Carnaval
2052-04-19,Paixão de Cristo
2052-04-21,Tiradentes
2052-05-01,Dia do Trabalho
2052-06-20,Corpus Christi
2052-09-07,Independência do Brasil
2052-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2052-11-02,Finados
2052-11-15,Proclamação da República
2052-11-20,consciencia negra
2052-12-24,véspera de natal
2052-12-25,Natal
2052-12-31,vespera ano novo
2053-01-01,Confraternização Universal
2053-02-17,Carnaval
2053-02-18,Carnaval
2053-04-04,Paixão de Cristo
2053-04-21,Tiradentes
2053-05-01,Dia do Trabalho
2053-06-05,Corpus Christi
2053-09-07,Independência do Brasil
2053-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2053-11-02,Finados
2053-11-15,Proclamação da República
2053-11-20,consciencia negra
2053-12-24,véspera de natal
2053-12-25,Natal
2053-12-31,vespera ano novo
2054-01-01,Confraternização Universal
2054-02-09,Carnaval
2054-02-10,Carnaval
2054-03-27,Paixão de Cristo
2054-04-21,Tiradentes
2054-05-01,Dia do Trabalho
2054-05-28,Corpus Christi
2054-09-07,Independência do Brasil
2054-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2054-11-02,Finados
2054-11-15,Proclamação da República
2054-11-20,consciencia negra
2054-12-24,véspera de natal
2054-12-25,Natal
2054-12-31,vespera ano novo
2055-01-01,Confraternização Universal
2055-03-01,Carnaval
2055-03-02,Carnaval
2055-04-16,Paixão de Cristo
2055-04-21,Tiradentes
2055-05-01,Dia do Trabalho
2055-06-17,Corpus Christi
2055-09-07,Independência do Brasil
2055-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2055-11-02,Finados
2055-11-15,Proclamação da República
2055-11-20,consciencia negra
2055-12-24,véspera de natal
2055-12-25,Natal
2055-12-31,vespera ano novo
2056-01-01,Confraternização Universal
2056-02-14,Carnaval
